,time_stamp,id,age,gender,brightness_left,size_left,hue_left,brightness_right,size_right,hue_right,same_size,keypress,correct_choice,reaction_time,color_left,color_right
0,2023-12-01_18h38.38.204,1,,Female,0.6379835914979834,0.19504952120704797,0.6382573139764361,0.6649105490413347,0.12109582965629312,0.9809072487679902,0,left,1,0.5695737500027462,"(0.23247532340028068, 0.3015966878434339, 0.6379835914979834)","(0.6649105490413347, 0.1178037085949112, 0.18047835740675816)"
1,2023-12-01_18h38.38.204,1,,Female,0.9984885491395175,0.14608152453882417,0.6648424245206728,0.8824241670325648,0.18500502420659853,0.7670314135630389,0,right,1,0.619407082998805,"(0.25897198847557845, 0.2670663321413201, 0.9984885491395175)","(0.6754539274838124, 0.3621520535809264, 0.8824241670325648)"
2,2023-12-01_18h38.38.204,1,,Female,0.5978029946765456,0.14765354483040666,0.7824151494201224,0.5095219645150093,0.10467187551200731,0.6818513199191085,0,left,1,0.45846091599742067,"(0.4392122386394485, 0.07869978553809759, 0.5978029946765456)","(0.22362240684596582, 0.19496365356969558, 0.5095219645150093)"
3,2023-12-01_18h38.38.204,1,,Female,0.7930526524323352,0.18022911847618983,0.23149764192064082,0.8812720608572644,0.10004552359132363,0.5187125238551036,0,left,1,1.0219356250017881,"(0.49568880417571376, 0.7930526524323352, 0.028593361453745574)","(0.025881824246056676, 0.7852329996092049, 0.8812720608572644)"
4,2023-12-01_18h38.38.204,1,,Female,0.8745079402082465,0.18562212601773004,0.1602771315491106,0.7429322222008212,0.14896215430356155,0.9212748923157774,0,left,1,0.4169999170007941,"(0.8745079402082465, 0.8481650304225321, 0.18737110106288762)","(0.7429322222008212, 0.07755150402061495, 0.39184451615906724)"
5,2023-12-01_18h38.38.204,1,,Female,0.6754161718279927,0.17278676330890266,0.8662294879034551,0.834244370060242,0.17872162881519152,0.7839345970763478,0,left,0,1.5479169999998703,"(0.6754161718279927, 0.019687014519187546, 0.5459903655381958)","(0.6305507313921065, 0.14700128753661112, 0.834244370060242)"
6,2023-12-01_18h38.38.204,1,,Female,0.9338333957683129,0.16324233722269405,0.7270637797082197,0.5716974183763541,0.16057847178537688,0.9108869918816537,0,right,0,0.5905461670008663,"(0.4935660383452785, 0.24334500656613609, 0.9338333957683129)","(0.5716974183763541, 0.09078315575900983, 0.34791745529209755)"
7,2023-12-01_18h38.38.204,1,,Female,0.7102092513276868,0.1705338724688104,0.07699838686064442,0.7034673002916509,0.10004232659984712,0.9018550693107269,0,left,1,0.531269290997443,"(0.7102092513276868, 0.4635305507669102, 0.2517069041312347)","(0.7034673002916509, 0.32536818104647375, 0.5480192521584324)"
8,2023-12-01_18h38.38.204,1,,Female,0.947086032173208,0.15961586001188255,0.23948499871115514,0.9873961390927309,0.16317341999597984,0.8715659039876635,0,right,1,0.40481329199974425,"(0.5639346742431868, 0.947086032173208, 0.07012884485409937)","(0.9873961390927309, 0.06613061382904978, 0.7760620433764776)"
9,2023-12-01_18h38.38.204,1,,Female,0.7195143544710827,0.12365037227521608,0.12843053513591252,0.7743807425131533,0.16335656298851603,0.6428834962113024,0,right,1,0.5212076249990787,"(0.7195143544710827, 0.6280870119287225, 0.32099364085049786)","(0.05329305294804346, 0.15619156155319444, 0.7743807425131533)"
