,time_stamp,id,age,gender,brightness_left,size_left,hue_left,brightness_right,size_right,hue_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-01_12h57.30.911,4,,Female,0.6,0.178869452812569,0.66,0.6,0.1730157744310441,0.66,"(0.48, 0.4848, 0.6)","(0.11999999999999997, 0.1392, 0.6)",0,left,1,0.57609570799832
1,2023-12-01_12h57.30.911,4,,Female,0.8,0.12639716672421364,0.66,0.6,0.12950055123792217,0.66,"(0.48, 0.4928, 0.8)","(0.24, 0.2544, 0.6)",0,left,0,1.2686044580004818
2,2023-12-01_12h57.30.911,4,,Female,0.2,0.10341923171267511,0.66,0.8,0.164592499847089,0.66,"(0.039999999999999994, 0.0464, 0.2)","(0.32000000000000006, 0.33920000000000006, 0.8)",0,right,1,0.4794780839984014
3,2023-12-01_12h57.30.911,4,,Female,0.6,0.1964927591461398,0.0,0.2,0.12668688677286966,0.0,"(0.6, 0.36, 0.36)","(0.2, 0.039999999999999994, 0.039999999999999994)",0,left,1,0.4904301659989869
4,2023-12-01_12h57.30.911,4,,Female,0.6,0.1268887721118433,0.33,0.4,0.1894439339381318,0.0,"(0.12959999999999997, 0.6, 0.11999999999999997)","(0.4, 0.16000000000000003, 0.16000000000000003)",0,right,1,1.1492756250008824
5,2023-12-01_12h57.30.911,4,,Female,0.8,0.13205729750566542,0.33,0.2,0.12746282273500792,0.0,"(0.6432000000000001, 0.8, 0.6400000000000001)","(0.2, 0.08000000000000002, 0.08000000000000002)",0,left,1,0.8224570829988807
6,2023-12-01_12h57.30.911,4,,Female,0.6,0.17340116268907343,0.66,0.2,0.18001976953603882,0.66,"(0.36, 0.3696, 0.6)","(0.16000000000000003, 0.16160000000000002, 0.2)",0,left,0,0.5078059590014163
7,2023-12-01_12h57.30.911,4,,Female,0.4,0.14624519742344133,0.33,0.8,0.1920157728779633,0.0,"(0.2432, 0.4, 0.24)","(0.8, 0.15999999999999998, 0.15999999999999998)",0,right,1,0.3728132500000356
8,2023-12-01_12h57.30.911,4,,Female,0.4,0.1613290898772295,0.0,0.6,0.13201783143262572,0.33,"(0.4, 0.32000000000000006, 0.32000000000000006)","(0.2472, 0.6, 0.24)",0,left,1,0.5424393749999581
9,2023-12-01_12h57.30.911,4,,Female,0.4,0.14335991016329985,0.66,0.2,0.10796466545555988,0.33,"(0.07999999999999999, 0.0928, 0.4)","(0.043199999999999995, 0.2, 0.039999999999999994)",0,left,1,0.3610225000011269
