,time_stamp,id,age,gender,brightness_left,size_left,hue_left,saturation_left,brightness_right,size_right,hue_right,saturation_right,color_left,color_right,same_size,keypress,correct_choice,reaction_time
0,2023-12-01_23h31.47.253,99,,Female,0.8267357280698111,0.11697897206130115,0.019862627371791675,0.5170966634480905,0.9588718138596153,0.10992212019942188,0.7564073291242907,0.8022268599122204,"(0.8267357280698111, 0.4501813532401703, 0.39923344153158397)","(0.6038278151403885, 0.189639089568681, 0.9588718138596153)",0,left,1,1.5826314170008118
1,2023-12-01_23h31.47.253,99,,Female,0.9729377812107244,0.1455980448615282,0.6402637239859673,0.673420984832602,0.5472145400907044,0.13662882868880616,0.7130121384655352,0.8822049815262851,"(0.31774106240695166, 0.4215357908739013, 0.9729377812107244)","(0.19870030563568064, 0.06445914685906991, 0.5472145400907044)",0,left,1,0.7211800839977514
2,2023-12-01_23h31.47.253,99,,Female,0.9385104978967713,0.11054095248918389,0.19414767416198442,0.9381624289735109,0.8881937298088096,0.14964154901350737,0.8024541176462856,0.8341479529327802,"(0.7933324099095322, 0.9385104978967713, 0.058035209572797265)","(0.7509260469454712, 0.1473087482810602, 0.8881937298088096)",0,right,1,0.4477991669991752
3,2023-12-01_23h31.47.253,99,,Female,0.9690515815139442,0.13727959309067203,0.9215179838260168,0.7509319893886148,0.7614222612933061,0.142682895693626,0.7947931052462979,0.8991985886099498,"(0.9690515815139442, 0.24135974958749465, 0.5840240823250571)","(0.603098274508347, 0.07675243860216882, 0.7614222612933061)",0,left,0,0.4528320419994998
4,2023-12-01_23h31.47.253,99,,Female,0.7481749830782173,0.10123397393425293,0.3607855639070552,0.7509181508870509,0.9306979860063334,0.13801464584223433,0.8343423942179511,0.9225490860191409,"(0.18635680824517173, 0.7481749830782173, 0.27889578070131776)","(0.9306979860063334, 0.07208340965633536, 0.9254996197025888)",0,right,1,0.5043817080004374
5,2023-12-01_23h31.47.253,99,,Female,0.6530759181628512,0.10788682204229252,0.5963020549619015,0.5046860943279604,0.5200639749058642,0.1361244039398803,0.5650284155423401,0.5941889993377374,"(0.3234775837255951, 0.46262993665288416, 0.6530759181628512)","(0.2110476820649426, 0.39949493550458676, 0.5200639749058642)",0,right,1,0.5527867919990967
6,2023-12-01_23h31.47.253,99,,Female,0.9920159183425581,0.10771511947907397,0.410059931525954,0.5039953921261273,0.7367402047959861,0.10768173808128621,0.5652891437989425,0.5480941612738863,"(0.49204446658214024, 0.9920159183425581, 0.722211118704157)","(0.33293720017157885, 0.5785564901837784, 0.7367402047959861)",0,left,1,0.4099894159990072
7,2023-12-01_23h31.47.253,99,,Female,0.7596023529946623,0.10976295368167215,0.2218795968472822,0.9175092790349707,0.8694759540230044,0.11193176579529691,0.862239389237897,0.8770892082668278,"(0.5287210244219511, 0.7596023529946623, 0.06266014574526237)","(0.8694759540230044, 0.1068679779019227, 0.7372120212768711)",0,left,0,0.5678187500016065
8,2023-12-01_23h31.47.253,99,,Female,0.5493208602741633,0.11374781993749254,0.07173310775606101,0.7880925435427297,0.6668745155928522,0.14033750900302677,0.6027066090776446,0.8661720666584982,"(0.5493208602741633, 0.30273150643124863, 0.1164051862796175)","(0.08924643821990651, 0.31091718878276475, 0.6668745155928522)",0,right,1,0.44950183399851085
9,2023-12-01_23h31.47.253,99,,Female,0.7764191759959475,0.1333044734844472,0.044244673690395864,0.6338413166191613,0.5154441398246251,0.14953907291620197,0.929611920951762,0.5782804519866542,"(0.7764191759959475, 0.41493649568221946, 0.28429262323431176)","(0.5154441398246251, 0.2173728696729687, 0.34325685442562953)",0,right,1,0.45928283399916836
